label,group,nseqs,coverage,sobs,invsimpson,invsimpsonlci,invsimpsonhci,shannon,shannonlci,shannonhci
0.03,3KS101,45492,0.942451,5723,308.458885,298.307609,319.325387,7.132112,7.119871,7.144354
0.03,3KS102,45492,0.936384,6269,344.762446,332.501182,357.962621,7.26792,7.256313,7.279526
0.03,3KS103,45492,0.968764,4038,224.792934,218.285515,231.700267,6.726785,6.713124,6.740447
0.03,3KS104,45492,0.970896,3727,240.126458,234.314177,246.234428,6.622538,6.609213,6.635864
0.03,3KS105,45492,0.97615,3832,290.445678,281.881227,299.546867,6.890663,6.878292,6.903033
0.03,3KS106,45492,0.970654,3743,195.11885,189.476628,201.107413,6.598318,6.58428,6.612356
0.03,3KS201,45492,0.962345,4385,238.384081,231.129664,246.10864,6.806327,6.792976,6.819678
0.03,3KS202,45492,0.964719,4222,247.321627,240.508387,254.532138,6.770333,6.757092,6.783574
0.03,3KS203,45492,0.940187,5708,325.35052,315.355152,336.000246,7.118075,7.106087,7.130062
0.03,3KS204,45492,0.973776,3598,210.767051,204.965791,216.90627,6.603862,6.590103,6.617621
0.03,3KS205,45492,0.94931,5264,326.464575,316.28547,337.320663,7.065562,7.053631,7.077492
0.03,3KS206,45492,0.977425,3569,288.795712,280.819453,297.238325,6.800796,6.788509,6.813083
0.03,3KS301,45492,0.973446,4099,390.736075,380.259178,401.806647,7.034594,7.023505,7.045683
0.03,3KS302,45492,0.971841,4215,360.536365,350.695415,370.945559,7.027091,7.015529,7.038653
0.03,3KS303,45492,0.964411,4442,341.886045,332.534871,351.778362,6.975688,6.963945,6.98743
0.03,3KS304,45492,0.960213,4570,315.299997,306.333225,324.807536,6.943775,6.931665,6.955884
0.03,3KS305,45492,0.967225,4184,334.795141,325.332762,344.824441,6.9325,6.920834,6.944166
0.03,3KS306,45492,0.963796,4226,250.247538,242.556151,258.442684,6.814044,6.801095,6.826993
0.03,3KS401,45492,0.944628,5631,341.734291,331.378408,352.758317,7.13636,7.124457,7.148263
0.03,3KS402,45492,0.948562,5351,369.095664,359.408962,379.318976,7.096228,7.084625,7.10783
0.03,3KS403,45492,0.958081,4800,398.161562,387.768067,409.127564,7.07588,7.064849,7.086911
0.03,3KS404,45492,0.959312,4656,335.056408,326.575128,343.989956,6.949682,6.937645,6.961718
0.03,3KS405,45492,0.95674,4733,341.297511,332.146544,350.967001,6.976792,6.965029,6.988555
0.03,3KS406,45492,0.957443,4631,278.725567,271.219422,286.659011,6.868093,6.855274,6.880911
0.03,3KS501,45492,0.956784,4692,331.847271,323.320336,340.836152,6.946519,6.934515,6.958523
0.03,3KS502,45492,0.963752,4177,260.155883,252.825266,267.924294,6.790436,6.777576,6.803296
0.03,3KS503,45492,0.958586,4657,372.564633,362.881829,382.778337,7.013195,7.001855,7.024535
0.03,3KS504,45492,0.960696,4814,496.189065,484.162053,508.828821,7.171701,7.161764,7.181638
0.03,3KS505,45492,0.950892,4990,260.798342,253.423295,268.615508,6.888952,6.875717,6.902187
0.03,3KS506,45492,0.960345,4516,306.911766,298.855985,315.41387,6.896509,6.88418,6.908838
0.03,4KS101,45492,0.967511,4015,233.341787,226.106982,241.054883,6.769479,6.756235,6.782723
0.03,4KS102,45492,0.957619,4844,318.102256,309.067866,327.680719,6.999574,6.987392,7.011757
0.03,4KS103,45492,0.969006,4263,342.843359,333.505402,352.719295,6.966123,6.954359,6.977887
